,link,img,head,desc
0,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/mcdonalds-india-franchisee-westlife-beats-q2-profit-view-on-strong-demand/95402941,https://etimg.etb2bimg.com/thumb/mcdonald-s-india-franchisee-westlife-beats-q2-profit-view-on-strong-demand-size-120380/95402941.cms?width=362&height=240,McDonald's India franchisee Westlife beats Q2 profit view on strong demand,"The company reported a consolidated net profit after tax of 315.5 million Indian rupees ($3.9 million) for the September quarter, compared with a loss of 44.2 million rupees a year ago, when there were still some COVID-19 restrictions."
1,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/yum-brands-to-fully-exit-russia-with-deal-to-sell-kfc-stores/95070892,https://etimg.etb2bimg.com/thumb/yum-brands-to-fully-exit-russia-with-deal-to-sell-kfc-stores-size-105296/95070892.cms?width=362&height=240,Yum Brands to fully exit Russia with deal to sell KFC stores,"The restaurant operator, which also owns the Taco Bell and Pizza Hut brands, will transfer ownership of its Russian KFC locations, operating system and master franchise rights to Smart Service Ltd, which is run by existing Russian KFC franchisees Konstantin Yurievich Kotov and Andrey Eduardovich Oskolkov, Yum said in a press release."
2,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/uks-dominos-pizza-resolves-row-with-franchisees-shares-jump/88335306,https://etimg.etb2bimg.com/thumb/uk-s-domino-s-pizza-resolves-row-with-franchisees-shares-jump-size-993339/88335306.cms?width=362&height=240,"UK's Domino's Pizza resolves row with franchisees, shares jump","The resolution includes renewed food rebates for franchisees, and requires them to open at least 45 new stores per annum over the next three years."
3,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/mcds-new-town-outlet-opens-after-change-in-franchise-ownership/70301849,https://etimg.etb2bimg.com/thumb/mcd-s-new-town-outlet-opens-after-change-in-franchise-ownership-size-469675/70301849.cms?width=220&height=140,McD’s New Town outlet opens after change in franchise ownership,"McDonald’s has reopened its outlet at City Centre II after a change in ownership of the franchise, setting the ball rolling for other outlets in the state to resume business."
4,https://retail.economictimes.indiatimes.com/news/food-entertainment/grocery/varun-beverages-gets-cci-nod-to-acquire-pepsicos-franchise-rights/68558758,https://etimg.etb2bimg.com/thumb/varun-beverages-gets-cci-nod-to-acquire-pepsico-s-franchise-rights-size-62994/68558758.cms?width=220&height=140,Varun Beverages gets CCI nod to acquire PepsiCo's franchise rights,"In February, VBL had announced its plans to acquire franchise rights of PepsiCo in southern and western regions."
5,https://retail.economictimes.indiatimes.com/news/industry/first-time-entrepreneurs-propel-indian-franchise-biz-industry-pegged-at-150-bn-in-5-yrs/64717696,https://etimg.etb2bimg.com/thumb/first-time-entrepreneurs-propel-indian-franchise-biz-industry-pegged-at-150-bn-in-5-yrs-size-39077/64717696.cms?width=220&height=140,First-time entrepreneurs propel Indian franchise biz; industry pegged at $150 bn in 5 yrs,"As the Indian market continues to grow, 25 per cent of all the brands in franchise mode is expected to be global as compared to about 13 per cent at present."
6,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/school-dropout-starts-food-chain-sells-rs-300-cr-idli/vada-a-year/64657607,https://etimg.etb2bimg.com/thumb/school-dropout-starts-food-chain-sells-rs-300-cr-idli-vada-a-year-size-50537/64657607.cms?width=220&height=140,School dropout starts food chain; sells Rs 300 cr idli/vada a year!,"The food chain, started by a school dropout P Suresh in Chennai 34 years ago, has 54 outlets across individually owned, franchised and overseas formats."
7,https://retail.economictimes.indiatimes.com/news/food-entertainment/food-services/drunken-monkey-to-triple-smoothie-bar-chain-to-150-by-2019/63683343,https://etimg.etb2bimg.com/thumb/drunken-monkey-to-triple-smoothie-bar-chain-to-150-by-2019-size-33583/63683343.cms?width=220&height=140,'Drunken Monkey' to triple Smoothie Bar chain to 150 by 2019,"Drunken Monkey says its fresh fruit smoothies and shakes are made from 100% natural local produce, without any artificial flavors, preservatives or even ice."
8,https://retail.economictimes.indiatimes.com/news/health-and-beauty/fitness/anytime-fitness-targets-100-open-clubs-by-2019/57423300,https://etimg.etb2bimg.com/thumb/anytime-fitness-targets-100-open-clubs-by-2019-size-49522/57423300.cms?width=220&height=140,Anytime Fitness targets 100 open clubs by 2019,"Anytime Fitness is considering cities including Jaipur, Lucknow, Ahmedabad and Ludhiana for expansion besides they have plans to set up 4 open clubs in Delhi and few in Mumbai."
9,https://retail.economictimes.indiatimes.com/news/health-and-beauty/cosmetics-and-fragrances/revlon-plans-100-exclusive-outlets-by-2017-end/55658104,https://etimg.etb2bimg.com/thumb/revlon-plans-100-exclusive-outlets-by-2017-end-size-71224/55658104.cms?width=220&height=140,Revlon plans 100 exclusive outlets by 2017-end,"At present, 25 to 30 per cent of its exclusive stores are company owned and the ratio might change when it opens its 100th store."
